Gene_id,CTRL1,CTRL2,CTRL3,EVE1,EVE2,EVE3,description
TC000847,6524,6876,7246,7239,7097,7862,None
TC032076,23,7,9,9,12,11,Disks large 1 tumor suppressor protein-like Protein 
TC000727,1346,998,1019,488,1680,1540,None
TC000726,3,7,2,2,10,4,None
TC000849,2737,2613,2615,2946,2809,3144,PCI domain-containing protein 2 homolog-like Protein 
TC000850,3,5,2,3,7,1,None
TC000725,137,161,172,140,226,189,Pupal cuticle protein Edg-84A-like Protein 
TC000724,2,1,1,1,2,2,Larval cuticle protein A3A-like Protein 
TC030990,0,0,0,0,0,0,None
TC000851,166,140,181,208,164,178,None
TC000723,591,709,699,843,1141,981,Pupal cuticle protein Edg-84A-like Protein 
TC000722,11,7,5,7,12,11,Pupal cuticle protein Edg-84A-like Protein 
TC000721,90,98,167,182,222,300,Pupal cuticle protein Edg-84A-like Protein 
TC000720,129443,136874,146832,165965,151106,120648,Pupal cuticle protein Edg-84A-like Protein 
TC000853,184,437,278,279,232,388,Pupal cuticle protein Edg-84A-like Protein 
TC000719,4472,4984,5090,5386,4627,4561,Larval cuticle protein A1A-like Protein 
TC032077,84,64,73,66,90,117,None
TC032078,36,55,51,38,46,58,None
TC000718,0,0,1,0,0,0,None
TC032079,4334,4756,4890,3828,4237,4351,Disks large 1 tumor suppressor protein-like Protein 
TC000717,37,24,36,50,25,24,Transposable element Tc3 transposase-like Protein 
TC000716,1,1,4,3,1,0,None
TC000855,15623,16592,16205,15222,14872,15399,Disks large 1 tumor suppressor protein-like Protein 
TC032080,8058,8942,9020,12227,9289,9719,Protein GDAP2 homolog-like Protein 
TC030991,3563,4021,4130,5002,4103,3708,Protein FAM46C-like Protein 
TC032081,2,3,1,2,2,1,None
TC000711,322,314,340,411,283,254,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like Protein "
TC000710,79,69,77,83,92,167,None
TC000856,64,84,119,60,72,91,Cytochrome P450 6BS1 
TC032082,386,332,347,333,526,943,Centrosomal protein of 290 kDa-like Protein 
ENSRNA022721765,5,5,11,7,7,14,U4atac minor spliceosomal RNA
TC032083,6,4,1,2,1,5,None
TC000708,1005,994,1072,1052,962,1053,Carnitinyl-CoA dehydratase-like Protein 
TC000707,3794,4153,3964,4494,4328,4873,POC1 centriolar protein homolog-like Protein 
TC000706,2976,3154,3293,4676,4008,4039,None
TC032084,11,8,1,9,2,4,None
TC032085,63,74,50,48,45,32,None
TC032086,207,204,287,151,365,769,Actin-binding protein anillin-like Protein 
TC032087,9,29,22,12,25,75,None
TC000859,433,338,421,414,502,359,None
TC032088,14,22,15,16,17,13,None
TC000860,1,0,1,0,2,0,None
TC000702,1,3,1,1,2,2,None
TC000861,165,138,177,192,165,140,Lachesin-like Protein 
TC000863,272,350,279,270,408,534,Lachesin-like Protein 
TC000701,24,15,15,22,28,33,Lachesin-like Protein 
TC032089,77,62,68,59,62,81,Protein amalgam-like Protein 
TC000700,1,0,1,1,1,0,None
TC000699,2,4,7,2,12,12,Putative C-5 sterol desaturase-like Protein 
TC000698,0,0,0,0,1,1,None
TC000696,1,1,0,2,0,0,None
TC000866,5,0,3,3,3,2,None
TC000695,6,4,4,2,3,4,None
TC000694,2,0,0,0,0,0,None
TC000693,6599,6485,6899,7096,7041,6769,No ocelli 
TC000692,5,1,1,3,4,2,None
TC032090,8,3,12,7,11,8,None
TC000868,6478,6162,6466,6548,7292,6593,Elbow B 
TC000869,0,0,1,0,0,0,None
TC000870,137,130,137,81,121,191,Serine protease P19 
TC000871,59933,63663,63164,61722,70477,68669,None
TC000689,25526,27838,25637,29744,30540,31357,Draper 
TC000872,2853,3081,2995,3465,2957,3634,None
TC000873,400,476,462,498,419,472,"Methionyl-tRNA formyltransferase, mitochondrial-like Protein "
TC000688,5986,5961,5722,6547,6479,6936,Glycerol-3-phosphate dehydrogenase  
TC000874,1102,1071,1155,1307,1144,1296,V-type proton ATPase subunit F 
TC000687,2506,2899,2752,2865,2477,3113,Y+L amino acid transporter 2-like Protein 
TC000875,3273,3481,3434,3507,3193,3450,Sphingosine-1-phosphate lyase-like Protein 
TC000686,641,571,560,449,583,551,Putative pseudouridine-5'-monophosphatase-like Protein 
TC032092,927,950,1005,1209,1056,1132,"39S ribosomal protein L33, mitochondrial-like Protein "
TC000685,1775,2080,2042,1599,1554,1515,Myosin heavy chain 95F-like Protein 
TC032093,22,25,24,26,35,41,None
TC032094,33,54,42,36,43,59,None
TC000876,76,75,49,40,33,30,Kynurenine 3-monooxygenase 
TC032095,0,5,2,1,0,5,2-acylglycerol O-acyltransferase 1-like Protein 
TC000682,0,2,0,0,1,1,None
TC000681,0,0,1,0,1,0,2-acylglycerol O-acyltransferase 2-like Protein 
TC000680,2,6,9,1,4,9,2-acylglycerol O-acyltransferase 1-like Protein 
TC000679,331,280,247,179,315,365,2-acylglycerol O-acyltransferase 2-like Protein 
TC000678,1507,1408,1401,1977,1774,1366,2-acylglycerol O-acyltransferase 1-like Protein 
TC000677,5287,5504,5390,5202,4571,5136,E3 ubiquitin-protein ligase SHPRH-like Protein 
TC000676,972,1115,1030,1252,1092,1182,Fatty-acid amide hydrolase 2-like Protein 
TC000675,798,891,819,1101,862,758,Fatty-acid amide hydrolase 2-like Protein 
ENSRNA022735508,2,0,0,0,0,0,tRNA-Leu for anticodon CAG
ENSRNA022735495,0,0,0,0,0,0,tRNA-Ala for anticodon CGC
TC000877,115,109,129,101,113,136,None
TC000878,0,2,1,0,1,0,None
TC000673,275,313,298,304,290,270,None
TC000672,3,0,0,0,1,2,None
TC000879,19,10,12,19,14,23,None
TC000671,1,2,2,1,1,0,None
TC000670,1,0,0,0,0,0,None
TC032096,35,34,30,26,22,33,None
TC000880,11786,13022,12664,9092,10589,9006,Zinc finger MIZ domain-containing protein 1-like Protein 
TC032097,402,475,435,301,371,339,None
TC032098,633,505,580,646,709,601,None
TC000882,2395,2093,2411,2757,2330,2480,Protein CutA homolog-like Protein 
TC000669,43,73,74,51,72,53,None
TC000668,51,64,49,41,65,73,Putative ferric-chelate reductase 1 homolog-like Protein 
TC000885,13,9,8,6,10,17,None
TC000667,1013,1213,1237,1347,1134,1381,Zinc finger protein 830-like Protein 
TC000886,4279,4485,4469,4880,4434,4763,Protein will die slowly-like Protein 
TC000666,10,13,9,4,17,17,Carboxypeptidase 
TC000665,70,124,76,77,108,120,Carboxypeptidase 
TC000664,27,9,26,3,1,3,Carboxypeptidase 
TC000887,15,10,16,2,1,0,Carboxypeptidase 
TC032099,236,216,250,142,79,57,None
TC000663,11,8,8,12,2,3,None
TC032100,1055,1240,1172,1452,978,796,None
TC000889,3033,2801,3154,2202,1313,749,Abdominal-B 
TC032101,308,428,353,293,216,325,None
TC000662,7,15,6,9,9,5,None
TC000659,1,2,0,0,0,0,None
TC000890,20,23,18,16,18,18,None
TC032102,41,52,45,24,45,40,None
ENSRNA022721741,2,5,3,1,0,0,microRNA mir-iab-4
TC000891,100,103,98,29,23,27,None
TC000894,3245,3273,3449,1693,1360,1103,Abdominal-A 
TC000892,4,0,2,4,6,0,None
TC000893,0,0,0,0,0,0,None
TC000897,2,2,2,4,3,3,None
TC000657,6,10,8,9,6,3,None
TC032103,393,437,447,102,128,86,None
TC000898,0,0,0,0,0,0,None
TC000655,45,61,38,12,17,6,None
TC000899,5,3,3,1,2,0,None
TC000900,3,0,3,0,0,0,None
TC000901,106,155,132,51,73,71,None
TC000654,25,31,31,15,11,12,None
TC000903,2724,3065,2984,1184,1110,964,Ultrabithorax 
TC000907,10,14,15,4,8,4,None
TC032104,1180,1337,1280,723,624,481,None
TC032105,59,66,68,17,22,17,None
TC032106,74,75,86,28,25,28,None
TC000651,0,1,0,0,0,0,None
TC000908,1,2,1,2,2,4,None
TC000909,11,14,6,4,10,3,None
TC000650,2,1,1,1,0,0,None
TC000912,7175,7916,8274,3849,3914,2165,Antennapedia 
TC000914,3,5,7,1,0,0,None
TC032107,9,15,12,2,10,7,None
TC000916,3829,4551,4463,3954,3839,2904,Fushi tarazu 
TC000915,1,2,3,0,2,0,None
TC032108,535,520,531,394,375,383,None
TC000917,1762,1945,2071,715,731,542,Scr 
TC032109,66,104,95,60,47,64,None
TC000646,7,7,3,4,2,3,None
TC000920,3441,3589,3757,5068,5322,4969,Deformed 
ENSRNA022721773,1,3,0,2,0,0,mir-10 microRNA precursor family
TC000921,345,308,332,381,742,994,Zen 
TC000922,2890,3048,3295,4406,4365,3714,Zen2 
TC030992,15,10,12,14,17,19,None
TC000923,4,4,4,5,8,10,None
TC000924,3,4,3,1,4,1,None
TC000645,3,2,3,2,0,4,None
TC000925,2189,2100,2297,2265,2316,1891,Proboscipedia 
TC000926,375,364,322,452,405,319,Labial 
TC032110,122,100,111,105,149,183,Chaoptin-like Protein 
TC032111,1592,1775,1761,2087,1796,1996,"Alpha-1,3-glucosyltransferase "
TC032112,21,30,35,73,101,119,Putative insulin-like peptide 7 
TC000642,198,257,240,424,479,726,None
TC000928,140122,140006,144936,142623,131521,140811,RNA-binding protein squid-like Protein 
TC000929,42979,44732,45753,43174,43559,42599,None
TC000930,3639,3293,3738,3540,3534,3338,SPARC-like Protein 
TC000931,72950,71788,75223,60868,57608,58817,Histone H2A 
TC000932,1323,1589,1336,1618,1313,1520,Thiamin pyrophosphokinase 1-like Protein 
TC000933,172,219,225,168,120,196,"Troponin T, skeletal muscle-like Protein "
TC000641,12365,12767,12964,12530,12845,12356,Coatomer subunit beta 
TC000640,68,77,66,30,28,30,Ras-related protein Ral-a-like Protein 
TC000934,368,368,389,279,223,203,Insulin-like peptide 
TC000935,11,5,7,5,11,21,High-affinity choline transporter 1-like Protein 
TC030993,72,55,53,20,122,56,None
TC032113,329,293,306,211,380,559,None
TC000940,6,6,6,7,16,13,Alpha-amylase A-like Protein 
TC000941,105,127,128,153,99,104,Alpha-amylase 
TC000638,0,1,0,4,3,4,Alpha-amylase 
TC000942,0,1,1,0,0,0,Alpha-amylase A-like Protein 
TC000944,223,224,252,254,223,204,Alpha-amylase 
TC032115,5,6,3,2,7,4,Alpha-amylase 
TC000945,18,26,43,33,21,26,Vesicular acetylcholine transporter-like Protein 
TC032116,2966,3037,3201,3616,3443,3510,Choline O-acetyltransferase-like Protein 
TC000948,2081,1677,1157,1044,2086,979,Protein croquemort-like Protein 
TC000635,5290,5410,5441,6261,5797,4154,Serine protease P16 
TC000949,1108,1228,1151,1313,1259,1328,BTB/POZ domain-containing protein 17-like Protein 
TC000634,17612,18568,18176,18538,18566,19616,G protein alpha q subunit-like Protein 
TC032117,21960,22978,22612,19864,18866,19833,None
TC032118,9537,10437,9941,10554,9370,9543,Protein roadkill-like Protein 
TC000950,41,35,27,50,29,44,None
TC000951,27,44,37,19,38,27,None
TC000952,26,35,33,22,30,31,None
TC000630,17018,17409,18398,20976,19400,18965,None
TC000953,11048,11701,11768,11907,11620,11589,F-box only protein 28-like Protein 
TC000954,2285,2375,2422,2415,2265,2623,Max-like protein X 
TC032119,37,39,32,26,42,34,None
TC000629,1,0,1,0,0,0,None
TC000955,181,292,223,139,262,506,Moesin/ezrin/radixin homolog 1-like Protein 
TC000956,3103,3171,3243,3160,3042,3064,Poly(ADP-ribose) glycohydrolase-like Protein 
TC000628,0,0,0,0,0,0,None
TC000957,7902,8429,7963,7970,8444,9543,WD repeat and FYVE domain-containing protein 3-like Protein 
TC000627,4436,4645,4879,4929,4489,4983,Cysteine and histidine-rich domain-containing protein-like Protein 
TC000626,938,941,897,940,893,916,Molybdenum cofactor sulfurase 
TC000625,17,26,20,33,30,45,Chaoptin-like Protein 
TC000958,0,0,0,0,0,1,None
TC000959,10,9,11,12,19,39,None
TC000621,1896,1842,1856,2239,1957,2178,Signal recognition particle 19 kDa protein-like Protein 
TC000960,13372,13163,13474,12269,12563,11244,"Aldehyde dehydrogenase, mitochondrial-like Protein "
TC000620,5199,5349,5288,5805,5678,5849,Phosphatidylinositol 3-kinase 
TC000961,1597,1593,1832,1705,1562,1732,Mig-2-like protein 
TC000619,1286,1388,1426,1643,1450,1576,Coiled-coil domain-containing protein 58-like Protein 
TC000618,20212,21910,21218,18737,18299,19430,Protein polybromo-1-like Protein 
TC000962,3631,3677,3871,4405,3855,3988,Thioredoxin domain-containing protein-like Protein 
TC000617,0,0,0,0,0,0,"Adrenodoxin-like protein, mitochondrial "
TC000963,9043,9446,9891,9731,10230,10119,Importin subunit alpha 
TC000616,9184,8103,8796,9542,9293,8133,Transaldolase 
TC000615,2038,1937,2109,1819,1539,1752,TBC domain-containing protein kinase-like protein 
ENSRNA022735180,0,0,0,0,0,0,tRNA-Trp for anticodon CCA
TC000614,9705,9151,10293,10925,10771,10872,Proteasome subunit alpha type 
TC000964,273,279,235,240,269,259,None
TC034553,1,0,0,1,0,0,None
TC000965,1800,1623,1776,1535,1619,1609,Protein D7-like Protein 
TC000966,233,207,210,197,201,313,Gametocyte-specific factor 1-like Protein 
TC000967,4094,4260,4437,4097,5056,5456,None
TC000613,2389,2518,2530,2552,2274,2405,Protein SHQ1 homolog-like Protein 
TC032120,19,20,29,37,26,28,None
TC000968,13279,14233,14701,12309,12128,12310,Rad21 
TC000969,34318,34086,36577,38754,40195,38139,T-complex protein 1 subunit alpha-like Protein 
TC000612,571,578,605,699,676,642,Valacyclovir hydrolase-like Protein 
TC000970,2364,2470,2394,2447,2590,2896,Metal transporter CNNM2-like Protein 
TC000971,13417,14041,13062,12873,13979,13235,Putative E3 ubiquitin-protein ligase HERC1-like Protein 
TC000611,1058,1134,1049,1802,1689,2206,Alpha-tocopherol transfer protein-like 
TC000972,3135,3009,3236,3701,3515,3498,"Methylmalonic aciduria and homocystinuria type D homolog, mitochondrial-like Protein "
TC000973,5047,5298,4984,5080,5355,5365,Integrator complex subunit 7-like Protein 
TC000610,946,1033,1004,1183,1145,1036,Molybdenum cofactor biosynthesis protein 1-like Protein 
TC000974,2111,2006,2029,2258,2037,1985,Protein NRDE2 homolog-like Protein 
TC000609,2296,2429,2462,2424,2142,2411,Myotubularin-related protein 10-B-like Protein 
TC032121,952,1091,1027,1215,1110,1266,Dolichol kinase-like Protein 
TC000976,3,0,1,0,7,0,Carbonic anhydrase 2-like Protein 
TC000608,338,301,340,469,420,423,Carbonic anhydrase 7-like Protein 
TC000607,32,33,46,46,55,58,None
TC000977,33,49,37,49,58,82,Carbonic anhydrase 3-like Protein 
TC000606,19339,20325,18821,15562,17626,17968,None
TC000605,6433,6356,6406,8671,8712,8498,None
TC000604,794,816,731,958,989,962,None
TC000603,572,670,677,683,546,729,Sorting nexin-4-like Protein 
TC030731,2587,2728,2594,2748,2512,2695,Calcium-binding mitochondrial carrier protein Aralar1-like Protein 
TC032122,6,5,5,7,6,5,None
TC000979,629,716,677,473,782,559,Corticotropin-releasing factor-binding protein-like Protein 
TC000980,8,1,10,3,6,12,None
TC000981,168,217,196,156,144,136,Carboxylic ester hydrolase 
TC032123,67,83,60,84,51,58,None
TC000982,13,8,3,10,8,6,Venom allergen 5-like Protein 
TC000602,2,13,11,3,9,5,CRISP/Allergen/PR-1-like Protein 
TC000601,0,0,0,0,1,0,Venom allergen 3-like Protein 
TC000600,0,0,0,0,0,0,Venom allergen 3-like Protein 
TC000599,0,0,0,0,0,0,Venom allergen 3-like Protein 
TC000598,1,0,0,0,2,1,Venom allergen 3-like Protein 
TC000597,1,0,0,0,0,0,None
TC000596,6,5,2,4,5,4,Venom allergen 3-like Protein 
TC000595,3,5,1,2,2,4,Venom allergen 3-like Protein 
TC000593,7442,7795,8180,4808,4676,4621,Timeout 
TC032124,88,129,99,114,129,159,Protein slit-like Protein 
TC000592,1,4,3,2,3,4,None
TC000591,12662,13286,13031,12230,11349,10436,None
TC000590,22275,22991,23110,28790,30262,30551,DnaJ homolog subfamily A member 1-like Protein 
TC000986,5210,5257,5477,5348,5029,5224,Protein will die slowly-like Protein 
TC000985,0,0,0,0,0,0,None
TC032125,485,592,521,611,467,655,None
TC000589,4056,4585,4268,4546,4179,4814,Fruitless 
TC000987,634,652,595,572,566,586,None
TC000588,79,108,85,104,106,134,None
TC000587,77,93,94,71,98,106,Cuticular protein analogous to peritrophins 1-B 
TC000988,6721,6917,6713,7071,6451,7240,RING finger protein 17-like Protein 
TC000586,192,175,174,125,220,356,None
TC000585,743,861,820,974,983,795,Organic cation transporter protein-like Protein 
TC000584,963,1009,1102,1081,1019,1105,Protein AAR2 homolog-like Protein 
TC000583,249,200,264,254,390,410,"B(0,+)-type amino acid transporter 1-like Protein "
TC032126,11,8,3,6,2,21,Transmembrane protease serine 9-like Protein 
TC000990,1,4,3,5,2,4,None
TC000582,2,1,3,0,1,0,Cdc42 homolog-like Protein 
TC000581,5,4,1,1,3,5,Ras-like GTP-binding protein Rho1 
TC030247,1,0,0,0,1,0,Gustatory receptor 
TC032127,45,77,76,82,74,62,None
TC000579,0,2,0,0,0,0,None
TC032129,2144,2504,2578,3530,3279,3333,None
TC032128,295,321,353,396,348,390,None
TC000578,24326,24521,24357,21569,20136,20355,Lamin-B receptor-like Protein 
TC000993,292,309,322,379,269,366,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like Protein "
TC000992,0,0,0,0,0,0,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like Protein "
TC032130,820,894,878,707,807,764,Protein 4.1 homolog-like Protein 
TC032131,3954,4268,4301,4125,3848,4092,None
TC032132,1527,1571,1574,1642,1527,1643,BRISC complex subunit Abro1-like Protein 
TC000577,3319,3612,3617,3723,3612,4069,Cyclin-T-like Protein 
TC000995,4027,4402,4359,4569,4110,4058,None
TC000996,26,24,22,65,54,60,None
TC000997,4902,5118,5056,5292,4772,5018,Putative E3 ubiquitin-protein ligase HERC4-like Protein 
TC000576,101,90,96,121,103,78,None
TC000575,5594,5585,5754,5421,5845,5936,Zinc finger protein 160-like Protein 
TC000998,27331,28782,28620,32931,31175,30807,Moesin/ezrin/radixin homolog 1-like Protein 
TC000574,11,18,8,12,9,14,Dopamine receptor 2-like Protein 
TC001000,2427,2585,2645,3183,2555,2955,Tetraspanin 
TC030994,3230,3533,3185,3935,4253,5421,Bumetanide-sensitive sodium-(Potassium)-chloride cotransporter-like Protein 
TC001001,69,50,47,55,94,101,None
TC000571,103,107,106,160,152,123,Putative family 31 glucosidase KIAA1161-like Protein 
TC000570,7386,8083,8121,8497,8328,8779,"Lon protease homolog, mitochondrial "
TC000569,2769,2840,2927,3002,2766,3132,Nuclear cap-binding protein subunit 1-like Protein 
TC001002,634,781,625,542,411,524,None
TC000568,5545,5724,5832,5185,5440,5737,Nuclear cap-binding protein subunit 1-like Protein 
TC001003,1425,1369,1403,1352,1032,1233,NAD-dependent protein deacetylase Sirt6-like Protein 
TC001004,55043,55023,59627,70185,63963,62256,40S ribosomal protein S15-like Protein 
TC000567,2654,2673,2731,3081,2860,3178,Ubiquitin-like protein 7 
TC001005,0,0,0,0,0,0,None
TC000566,0,1,0,2,0,2,None
TC000565,8,12,8,4,9,18,Endothelin-converting enzyme 2-like Protein 
TC000564,0,0,2,0,2,1,None
TC030995,53,62,59,61,90,124,Protein turtle-like Protein 
TC000563,0,0,2,0,0,0,None
TC000562,352,390,392,342,319,370,None
TC001008,4,0,0,3,5,1,None
TC000561,2950,3642,3878,4651,5423,3982,Organic cation transporter protein-like Protein 
TC001009,12,11,11,15,18,19,UPF0691 protein C9orf116-like Protein 
TC000560,32,8,9,6,15,34,None
TC001010,6,6,7,6,17,22,None
TC001011,0,2,0,1,0,2,None
TC032133,40,39,30,21,29,57,Neurotrimin-like Protein 
TC000559,0,0,0,0,0,0,None
TC000558,4,5,2,2,1,2,A disintegrin and metalloproteinase with thrombospondin motifs 7-like Protein 
TC001014,655,394,576,204,607,312,A disintegrin and metalloproteinase with thrombospondin motifs 7-like Protein 
TC032134,0,0,0,0,0,0,Elongation of very long chain fatty acids protein 
TC032135,6,0,0,2,0,5,None
TC032136,0,0,0,0,0,0,Elongation of very long chain fatty acids protein 
TC000556,0,0,0,0,1,1,None
TC032137,1,2,6,2,3,3,None
TC000555,0,0,1,0,0,0,None
TC032138,1,1,0,0,1,0,None
TC000552,5,2,0,1,1,4,None
TC000551,170,13,109,23,76,165,None
TC001017,79,7,46,12,41,60,None
TC001018,303,216,310,346,414,513,Nicotinic acetylcholine receptor subunit alpha1 
TC001019,590,451,512,570,405,506,None
TC001020,1564,1710,1861,2027,1880,1910,Putative homeodomain transcription factor-like Protein 
TC032139,3965,4037,3731,4782,3665,4171,None
TC001022,2979,3278,3290,3682,3552,3908,None
TC032140,52,29,55,46,54,41,Transmembrane protease serine 9-like Protein 
TC000549,288,204,497,230,740,236,Acyl-CoA desaturase 2-like Protein 
TC000548,72,62,70,86,140,113,Serine protease-like protein 
TC000547,1390,1255,1340,2309,1431,1007,Serine protease P13 
TC000546,95,99,136,135,290,182,Serine protease P12 
TC000545,12,29,33,13,37,27,Serine protease P11 
TC001023,7,10,10,9,12,32,Serine protease P22 
TC000544,169,224,254,363,396,499,Soluble guanylate cyclase 89Db-like Protein 
TC032141,1068,1037,1109,1223,1025,1209,None
TC001026,7076,7745,7558,8281,6805,7900,None
TC001027,8999,9044,9126,10252,9539,10008,Cytochrome b5-like Protein 
TC000543,687,729,717,1933,1653,1986,HR4 
TC032142,31,46,48,110,89,128,None
TC001028,0,0,0,2,3,3,None
TC032143,224,195,192,109,119,101,None
TC032144,2119,2032,2386,2438,2500,2324,None
TC001030,12587,11050,12443,13971,13730,12446,None
TC001031,85,67,66,54,72,47,None
TC001032,4986,4876,5129,4431,4469,4455,Serine/threonine-protein kinase PLK4-like Protein 
TC000542,5274,4902,5270,6539,6385,6016,Phosphoserine aminotransferase 
TC001033,48020,50211,48694,44270,49412,48985,None
TC000541,6456,6744,6881,7466,7374,7384,IKK gamma 
TC001034,9536,9830,10093,10429,9768,10566,Splicing factor 3A subunit 3-like Protein 
TC001035,6741,7431,7095,7366,6796,7413,Neuropathy target esterase sws-like Protein 
TC000540,1357,1367,1246,1307,1325,1485,"Folylpolyglutamate synthase, mitochondrial-like Protein "
TC001036,3750,4113,4004,4165,4396,4229,Fizzy-related protein homolog-like Protein 
TC000539,1377,1528,1529,1608,1569,1616,None
TC001037,5764,5759,5885,6397,6020,6310,Ras-like protein 1 
TC000538,12412,13365,13127,12801,13142,13720,C-myc promoter-binding protein-like Protein 
TC001038,74,41,60,53,62,62,Lipoma HMGIC fusion partner homolog-like Protein 
TC000537,11847,11921,12336,14052,14257,15080,None
TC001039,3061,3296,3122,3432,2479,3181,ADAM 17-like protease 
TC030996,1242,1111,1320,1174,1107,1110,Programmed cell death protein 2-like 
ENSRNA022735200,0,0,0,0,0,0,tRNA-Asp for anticodon GUC
TC001040,862,905,892,876,857,973,Calcium-binding mitochondrial carrier protein Aralar1-like Protein 
ENSRNA022735477,2,1,2,3,2,1,tRNA-Ala for anticodon CGC
TC001041,1908,2044,2005,2137,2032,2161,Pre-mRNA-splicing factor 18-like Protein 
TC034554,0,0,0,0,0,0,None
TC034555,92,45,79,68,47,59,None
TC034556,0,0,0,0,0,0,None
TC000534,141,135,198,147,176,170,Pyrroline-5-carboxylate reductase 2-like Protein 
TC000533,1815,1822,1944,2008,2016,1912,Pyrroline-5-carboxylate reductase 3-like Protein 
TC032146,51864,54758,52144,54535,54987,56975,None
TC032147,12871,13822,13293,10443,13135,12982,Protein PRRC2A-like Protein 
TC000531,4036,3989,4280,4072,3938,4280,Myotubularin-related protein 2-like Protein 
TC030572,984,1088,1048,1277,1142,1254,Translation machinery-associated protein 16 homolog-like Protein 
TC000530,7640,8385,8310,9486,9334,10192,Amidophosphoribosyltransferase 
TC001042,0,0,0,0,0,0,Translocon-associated protein subunit delta-like Protein 
TC000529,6891,7317,7565,7099,6911,7157,Wings apart-like protein 
TC001043,3226,3304,3379,3742,3521,3664,Alpha-2-macroglobulin receptor-associated protein-like Protein 
TC000528,937,961,991,1065,1010,1086,None
TC000527,278,291,358,152,134,176,Retinal homeobox protein Rx-like Protein 
TC030997,4132,4057,4346,2529,2083,1420,None
TC000526,14,8,11,4,4,5,None
TC001047,16,16,12,15,13,16,None
TC001048,43,42,51,55,41,84,Myosin light chain alkali-like Protein 
TC001049,2,0,1,0,0,2,Myosin light chain alkali-like Protein 
TC032148,646,510,550,415,496,553,Microtubule-associated protein 
TC030431,0,1,0,0,0,2,Odorant receptor 320 
TC030432,1,1,0,1,0,1,Odorant receptor 321 
TC001051,3175,3216,3151,3382,3085,3368,WD repeat-containing protein 26 homolog-like Protein 
TC001052,1067,1153,1013,1199,1039,1283,Zinc finger protein 879-like Protein 
TC000525,332,352,312,323,325,345,Engulfment and cell motility protein 1-like Protein 
TC000524,2536,2433,2438,3150,2866,3294,VhaPPA1-1 
TC000523,106,155,97,77,86,90,None
TC000522,1935,2148,2053,2638,2521,2312,Glutathione S-transferase 1-1-like Protein 
TC000521,121,120,104,117,189,196,None
TC032149,3,7,3,1,3,6,None
TC001053,16,11,19,10,22,18,Spatzle 7 
TC032150,56,47,73,7,24,27,None
TC000520,1259,1258,1463,2078,2494,3330,Spaetzle 
TC001054,1292,1030,1338,1225,1807,1337,Spaetzle-like protein 
TC032151,642,726,621,594,509,621,None
TC001055,1,5,3,5,2,4,None
TC032152,7,6,7,7,12,17,Neuropeptide Y receptor-like Protein 
TC032153,0,1,1,0,0,1,Luciferin 4-monooxygenase-like Protein 
TC032154,7,4,4,8,21,17,Neuropeptide Y receptor-like Protein 
TC001057,652,723,639,914,828,1016,Leucine-rich repeat-containing protein C10orf11 homolog-like Protein 
TC034557,3863,4155,3961,4051,3810,3890,None
TC001059,371,443,408,308,370,382,Synaptotagmin-like protein 3 
TC000518,0,1,0,0,0,0,None
TC000517,1043,974,1133,838,1652,1219,Pathogenesis-related protein 5-like Protein 
TC000516,18,21,18,11,16,30,Pathogenesis-related protein 5-like Protein 
TC000515,10,14,8,8,11,12,Pathogenesis-related protein 5-like Protein 
TC032155,20953,21882,21621,19579,22117,21620,None
TC000514,5598,5939,5741,6735,5615,6758,DnaJ homolog subfamily C member 8-like Protein 
TC032156,2315,2628,2332,2995,3199,3018,Forkhead box protein O-like Protein 
TC000513,7,6,11,11,8,15,None
TC032157,2226,2511,2181,3597,3134,3183,Forkhead box protein O-like Protein 
TC034558,0,0,0,0,2,0,None
TC000512,0,0,0,0,0,0,None
TC000511,1455,1539,1636,2446,2036,1797,None
TC001064,25,34,34,36,48,46,None
TC032158,7593,8035,8214,5272,5162,4634,None
TC000510,0,2,3,1,0,1,None
TC001067,1079,1053,1153,874,780,603,None
TC000509,3217,3286,3512,3728,3522,3961,U1 small nuclear ribonucleoprotein C 
TC001068,3001,3012,3215,3716,3383,3389,Transcription initiation factor TFIID subunit 13-like Protein 
TC000508,264,257,276,318,275,322,Protoporphyrinogen oxidase-like Protein 
TC001069,1,1,3,3,3,6,Dissatisfaction 
TC034559,5,6,3,4,9,3,None
TC001071,5077,5107,5135,5375,5045,5009,Peroxiredoxin 1-like Protein 
TC000506,4526,4637,4927,3924,4047,3885,Protein HIRA homolog-like Protein 
TC001072,6785,7273,7243,6337,5730,6466,Shattered 
TC000505,20406,20687,21210,21826,20264,21186,Importin subunit alpha 
TC001073,26981,27364,28913,30721,31065,31334,T-complex protein 1 subunit alpha-like Protein 
TC000504,198,249,235,229,222,224,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13-like Protein 
TC032159,10544,11033,11235,14802,14249,16357,None
TC032160,7679,8462,8082,9332,8780,10360,None
TC001074,5563,5697,5650,5883,5787,5676,Ribosomal protein S6 kinase 
TC000502,2329,2202,2343,2349,2131,2223,E3 ubiquitin-protein ligase 
TC030433,12,17,10,15,16,14,Odorant receptor 322 
TC000501,1,0,1,0,0,0,None
